customer_id,trans_date,tran_amount,response
CS3957,2012-08-30,69,0
CS4704,2014-11-25,41,0
CS2289,2012-05-19,67,0
CS5218,2014-06-21,45,0
CS4637,2011-05-20,71,1
CS3158,2012-05-06,91,0
CS4176,2012-07-30,49,0
CS1939,2011-11-25,101,0
CS5403,2011-12-01,64,0
CS5489,2014-12-02,77,0
CS4563,2011-05-30,101,0
CS3508,2012-05-23,67,0
CS2703,2014-10-12,40,1
CS2596,2013-05-01,76,0
CS5990,2012-10-19,103,0
CS4215,2011-07-09,54,0
CS4811,2012-01-26,77,1
CS2070,2013-01-30,41,0
CS3419,2015-01-29,38,0
CS3668,2014-08-14,102,0
CS4623,2013-09-27,89,1
CS4708,2013-07-02,48,0
CS1816,2013-09-22,64,0
CS5376,2013-12-08,44,0
CS4568,2011-11-15,70,0
CS1779,2012-01-27,53,0
CS2447,2011-07-10,82,0
CS1985,2011-08-16,87,0
CS2544,2011-11-07,64,0
CS2158,2012-09-11,89,0
CS5776,2014-09-09,87,0
CS5653,2013-09-04,98,0
CS2291,2014-10-15,67,0
CS6088,2012-10-29,48,0
CS4245,2014-06-02,102,0
CS3344,2014-07-02,56,0
CS1481,2013-12-23,50,0
CS5400,2011-12-23,56,0
CS5463,2014-08-27,91,0
CS5951,2014-08-07,104,1
CS5515,2012-02-19,41,0
CS3039,2012-05-01,92,0
CS1836,2012-03-24,63,0
CS4320,2014-04-09,52,1
CS4889,2011-12-01,38,0
CS1319,2011-09-26,95,0
CS4859,2015-01-07,50,1
CS4148,2014-02-08,40,0
CS5264,2013-04-03,81,0
CS4041,2014-12-29,49,0
CS2183,2013-01-04,39,0
CS2516,2015-02-15,55,0
CS1890,2012-11-03,37,0
CS3730,2013-02-11,89,1
CS5382,2013-03-07,48,1
CS5970,2014-06-13,40,0
CS5260,2015-01-30,46,1
CS2437,2011-11-13,90,0
CS4675,2011-09-11,67,0
CS2920,2011-10-11,87,0
CS2548,2013-09-28,73,1
CS1818,2011-12-26,46,0
CS6098,2012-09-28,42,1
CS2712,2011-12-26,65,0
CS2714,2011-12-14,69,0
CS2615,2013-08-17,39,0
CS5445,2014-07-27,72,0
CS5812,2014-11-02,62,0
CS4636,2013-09-22,66,0
CS3147,2014-06-04,84,1
CS1273,2012-02-01,91,0
CS4243,2011-11-11,48,0
CS2357,2012-04-13,71,0
CS1776,2014-05-03,79,0
CS5643,2013-03-02,104,0
CS4522,2015-03-06,82,0
CS2418,2015-02-01,51,0
CS1330,2014-11-21,41,0
CS1195,2014-12-29,83,0
CS4306,2015-03-07,54,0
CS2137,2013-09-29,73,0
CS3518,2013-06-19,54,0
CS5835,2011-09-18,52,1
CS4701,2015-01-15,95,0
CS4548,2012-06-28,38,0
CS2384,2012-10-15,35,0
CS4081,2013-02-17,74,0
CS5976,2012-01-02,99,0
CS3874,2011-09-08,44,0
CS5356,2014-06-17,105,1
CS4667,2014-09-17,66,0
CS4328,2012-06-04,56,0
CS3291,2013-08-02,42,0
CS4282,2011-09-11,44,0
CS4331,2011-09-25,70,0
CS1243,2013-03-17,36,0
CS2390,2014-05-20,104,0
CS2207,2014-04-05,71,0
CS1270,2011-11-18,104,0
CS1219,2014-11-11,91,0
CS5427,2012-11-13,96,1
CS5474,2011-05-18,69,0
CS5109,2012-05-23,92,0
CS5287,2015-03-14,94,0
CS3477,2013-05-05,80,0
CS3970,2011-12-13,86,0
CS5760,2011-12-08,59,0
CS2149,2013-04-04,83,0
CS4934,2014-07-19,80,1
CS1517,2013-10-18,89,0
CS1641,2012-12-29,64,0
CS2187,2011-11-19,70,0
CS5359,2014-08-12,96,0
CS3124,2011-12-08,71,0
CS1721,2012-08-30,96,0
CS5212,2015-01-22,42,0
CS5111,2011-08-23,81,1
CS3137,2012-04-04,67,0
CS1511,2015-01-25,69,0
CS2509,2014-02-23,92,0
CS5994,2014-01-11,42,0
CS2613,2013-08-25,103,0
CS1934,2014-08-18,89,0
CS3127,2011-10-02,39,0
CS5225,2014-03-18,104,1
CS1815,2012-11-17,83,0
CS3552,2014-04-27,102,0
CS1893,2013-11-17,42,0
CS3621,2013-10-26,56,0
CS4330,2013-07-17,59,0
CS4991,2013-07-20,90,0
CS2312,2013-10-22,37,0
CS2359,2012-06-04,90,1
CS4798,2012-12-06,84,1
CS2507,2012-06-28,94,0
CS1430,2014-09-02,71,0
CS3787,2013-10-23,48,0
CS4103,2013-04-14,89,0
CS2881,2012-09-24,54,0
CS1854,2011-09-29,74,0
CS2863,2012-12-23,102,0
CS5292,2013-09-04,64,1
CS3184,2012-01-07,88,0
CS2049,2013-10-07,66,0
CS2832,2013-07-16,105,0
CS2251,2013-04-12,99,0
CS5667,2014-02-25,66,0
CS1327,2012-02-19,38,0
CS4927,2013-08-12,37,0
CS2302,2012-09-09,100,0
CS3901,2012-09-11,82,0
CS5762,2013-04-21,85,0
CS2289,2012-03-13,89,0
CS2867,2012-02-09,56,1
CS2359,2014-08-10,87,1
CS5814,2011-12-12,72,1
CS5129,2011-06-21,102,0
CS2597,2012-06-03,42,0
CS5838,2012-09-01,96,0
CS5800,2012-04-23,86,0
CS3786,2013-07-16,66,0
CS3659,2012-05-19,77,0
CS4400,2011-09-03,97,0
CS3026,2012-06-03,55,0
CS3632,2013-02-10,72,0
CS1452,2012-03-23,79,0
CS5140,2014-07-11,97,0
CS5383,2013-12-29,73,0
CS4695,2013-09-17,48,0
CS2368,2012-08-10,66,0
CS2066,2011-07-15,51,0
CS5277,2011-07-12,90,1
CS3025,2011-12-30,72,1
CS4802,2011-06-25,45,0
CS6001,2014-02-16,63,0
CS3981,2014-09-20,74,0
CS3885,2014-04-29,56,0
CS5546,2012-08-28,79,0
CS4964,2014-05-20,79,0
CS4881,2014-01-21,55,0
CS4103,2014-03-02,40,0
CS5884,2012-12-19,97,0
CS2765,2013-04-18,88,0
CS4438,2014-07-05,72,1
CS2234,2014-12-21,36,0
CS3015,2014-01-30,58,0
CS3755,2015-01-01,45,0
CS3927,2014-03-25,77,1
CS5799,2012-11-08,101,0
CS5708,2011-06-03,89,0
CS3695,2013-04-20,51,0
CS1969,2014-10-23,39,0
CS3854,2014-11-09,104,1
CS3416,2015-02-23,57,0
CS1414,2013-12-01,104,0
CS4732,2013-03-27,96,0
CS2493,2012-12-29,85,0
CS5851,2013-01-19,98,0
CS1678,2014-05-09,48,0
CS2049,2013-03-19,36,0
CS3676,2011-09-27,43,0
CS4853,2012-03-27,68,0
CS4292,2014-03-04,98,0
CS3152,2014-12-15,40,0
CS5640,2014-01-13,77,0
CS5857,2012-09-26,85,0
CS1472,2014-04-12,72,0
CS3888,2012-02-22,70,0
CS5563,2013-06-23,70,0
CS5104,2012-09-17,99,0
CS6109,2013-11-01,92,0
CS2352,2014-10-06,62,1
CS4024,2014-02-01,39,0
CS1499,2011-12-24,91,0
CS3071,2012-09-15,39,0
CS5638,2014-12-16,58,0
CS5533,2013-05-16,73,0
CS1961,2012-03-29,75,0
CS1707,2011-09-15,105,0
CS3692,2014-09-17,48,0
CS1275,2011-12-28,102,0
CS4738,2013-03-20,37,0
CS3732,2011-06-12,83,1
CS5676,2013-12-16,44,0
CS4111,2012-07-26,54,0
CS2074,2015-01-05,79,0
CS5815,2015-01-03,92,0
CS5094,2015-03-07,84,0
CS5431,2013-01-05,55,0
CS4540,2014-08-13,55,1
CS1891,2013-03-25,84,0
CS4389,2013-03-22,70,1
CS4412,2012-01-07,47,0
CS1697,2014-07-13,98,0
CS2720,2012-04-11,72,0
CS1152,2012-08-04,71,0
CS3796,2013-09-14,37,0
CS6066,2013-08-23,66,0
CS2643,2014-07-20,69,0
CS6056,2014-03-22,104,0
CS3489,2013-01-09,76,0
CS5229,2011-11-23,58,0
CS4649,2014-12-16,93,0
CS4372,2014-08-27,71,0
CS1790,2012-10-04,100,0
CS1475,2012-08-20,73,0
CS2452,2014-04-05,77,0
CS2781,2011-06-02,51,0
CS5260,2014-09-25,89,1
CS5155,2011-12-25,100,0
CS1582,2014-05-24,46,1
CS4757,2011-08-19,81,0
CS6039,2013-10-05,104,0
CS1580,2012-11-18,87,1
CS3815,2011-07-05,54,0
CS6063,2013-04-13,104,0
CS2226,2014-10-29,104,0
CS5367,2015-01-08,77,1
CS4581,2013-06-04,95,0
CS5004,2014-12-21,59,0
CS2164,2013-08-06,35,0
CS4590,2014-05-31,79,0
CS4600,2011-10-03,50,0
CS2122,2012-02-20,90,0
CS3060,2012-08-24,59,0
CS2217,2013-04-19,85,0
CS4288,2014-04-21,68,0
CS1568,2013-05-10,104,0
CS3442,2014-09-16,39,0
CS4883,2013-12-24,39,0
CS4911,2012-02-17,75,0
CS1533,2012-07-25,86,0
CS3103,2014-05-07,59,0
CS2185,2012-01-29,46,0
CS4094,2013-07-24,100,0
CS4354,2012-12-29,62,1
CS1939,2012-07-25,46,0
CS5516,2012-12-04,75,0
CS5664,2013-11-02,95,0
CS5068,2014-11-07,41,0
CS4376,2014-10-13,49,0
CS5825,2011-10-22,61,0
CS1871,2012-01-16,64,0
CS5046,2015-02-06,86,1
CS1259,2013-06-30,64,1
CS5664,2011-09-11,58,0
CS2986,2011-07-20,67,0
CS5510,2013-09-02,99,0
CS2845,2013-01-10,73,0
CS4077,2012-07-22,90,0
CS3466,2013-11-04,71,0
CS1508,2013-10-25,101,0
CS2469,2014-07-19,93,0
CS2767,2015-01-03,105,0
CS5790,2012-03-17,58,0
CS1710,2013-06-10,100,0
CS2554,2011-10-05,100,0
CS5283,2015-02-05,63,0
CS4050,2014-08-30,63,0
CS5975,2012-09-08,77,0
CS4227,2012-10-16,74,0
CS5983,2011-05-20,47,0
CS2490,2013-12-04,70,0
CS1696,2012-12-25,51,1
CS3209,2014-02-25,82,0
CS2942,2013-01-08,62,0
CS4981,2011-10-16,93,0
CS1397,2014-03-26,77,0
CS1903,2013-04-15,92,0
CS3754,2013-11-30,77,0
CS4763,2011-12-12,78,0
CS4413,2015-01-17,38,0
CS2333,2011-08-13,99,0
CS2798,2012-05-30,100,0
CS5033,2011-12-13,96,0
CS1420,2014-09-09,99,1
CS5132,2011-09-14,74,0
CS3058,2012-09-03,74,0
CS3692,2013-09-22,42,0
CS2463,2012-09-29,55,0
CS5209,2011-11-11,35,0
CS4581,2013-11-16,53,0
CS3424,2013-12-02,85,0
CS3207,2013-06-27,86,1
CS5763,2013-01-23,56,0
CS5772,2012-01-18,97,0
CS3673,2013-04-29,85,0
CS2887,2012-03-02,100,0
CS1596,2011-08-28,66,0
CS4299,2012-06-17,37,0
CS1492,2014-02-06,82,0
CS2313,2014-04-10,40,0
CS5385,2014-04-25,83,0
CS3441,2013-11-03,43,0
CS4701,2014-07-26,53,0
CS1746,2013-06-21,103,1
CS3276,2013-07-27,65,0
CS2555,2012-05-20,50,0
CS2569,2014-04-29,37,0
CS3426,2014-05-01,67,0
CS3052,2013-11-17,67,1
CS1993,2013-08-08,68,0
CS4908,2014-09-27,78,0
CS3021,2014-02-10,43,0
CS4424,2013-05-16,82,0
CS4841,2013-05-23,74,0
CS3486,2012-11-19,75,0
CS2218,2011-10-11,78,0
CS4779,2012-04-29,53,1
CS4226,2013-04-19,100,0
CS1653,2011-08-30,53,1
CS2533,2012-03-30,99,0
CS2905,2012-07-29,47,0
CS5169,2013-01-25,64,0
CS5142,2012-11-25,64,0
CS4390,2014-07-02,43,0
CS5668,2014-02-27,91,0
CS2896,2013-01-14,71,0
CS5156,2013-10-02,58,0
CS4200,2012-08-12,67,0
CS4391,2014-09-07,67,1
CS5408,2013-07-22,78,0
CS6019,2013-10-25,84,1
CS3981,2012-07-25,40,0
CS5925,2013-06-20,66,0
CS3964,2013-11-14,105,0
CS4688,2013-05-20,101,0
CS1343,2012-06-02,57,0
CS6024,2012-10-14,45,0
CS2816,2011-12-18,84,0
CS2434,2012-05-20,41,1
CS6018,2012-05-18,96,0
CS2072,2012-07-07,63,0
CS2897,2013-12-03,83,0
CS1680,2013-10-14,81,0
CS1638,2013-08-05,84,0
CS1165,2012-04-12,101,0
CS4593,2012-01-04,84,0
CS3414,2011-11-13,46,0
CS2252,2013-02-28,58,0
CS3598,2013-07-30,54,0
CS3642,2014-05-19,62,1
CS5948,2014-07-10,71,0
CS5582,2014-05-23,96,0
CS6107,2011-07-23,70,0
CS5201,2011-07-02,79,0
CS1639,2013-05-05,51,0
CS5884,2012-11-20,52,0
CS3515,2014-07-07,81,0
CS2332,2013-08-29,66,0
CS5628,2014-12-16,94,0
CS4830,2012-04-13,78,0
CS1673,2012-01-04,92,0
CS4993,2011-06-01,86,0
CS2603,2013-07-01,58,1
CS1800,2013-11-20,72,0
CS3911,2012-06-09,83,0
CS5465,2011-12-05,77,0
CS2373,2012-03-29,105,0
CS1241,2013-03-06,104,0
CS4244,2013-02-15,48,0
CS5233,2013-06-05,73,0
CS5405,2013-12-04,87,0
CS4115,2011-11-30,73,1
CS4283,2011-12-23,76,0
CS4420,2014-05-28,93,0
CS4779,2013-05-08,41,1
CS2567,2011-07-15,93,0
CS3629,2014-09-30,68,0
CS2026,2013-08-25,66,1
CS4338,2013-07-05,58,0
CS4142,2012-05-20,100,0
CS2837,2012-11-10,88,0
CS1625,2013-11-05,104,0
CS4873,2012-11-20,83,0
CS3376,2012-08-28,39,0
CS4311,2012-02-27,35,1
CS1396,2012-09-25,86,0
CS3779,2014-01-29,92,0
CS1997,2012-10-09,87,0
CS4540,2012-05-17,72,1
CS5299,2012-12-22,90,0
CS2253,2012-11-21,99,0
CS6066,2014-03-17,102,0
CS6077,2012-11-22,44,0
CS3300,2014-12-28,86,0
CS5922,2012-03-31,95,1
CS6009,2014-03-13,39,1
CS5064,2013-02-19,97,0
CS2399,2014-04-21,77,0
CS5547,2012-09-27,73,1
CS5114,2012-09-23,96,0
CS3908,2011-11-10,83,1
CS4194,2013-04-24,92,0
CS5342,2012-10-15,82,0
CS5425,2012-08-04,90,0
CS1991,2014-09-29,94,0
CS2693,2013-08-27,61,0
CS5076,2015-01-31,63,1
CS3177,2011-06-08,87,0
CS2809,2012-06-02,60,1
CS3864,2013-12-06,56,0
CS2515,2011-12-11,51,1
CS4487,2011-08-25,100,0
CS3108,2011-08-20,87,0
CS1133,2014-07-28,91,0
CS5919,2012-03-04,97,0
CS6067,2012-09-04,44,0
CS4893,2013-10-24,66,0
CS5750,2014-03-25,48,0
CS1445,2011-11-13,88,0
CS1710,2011-10-26,52,0
CS1927,2013-12-23,97,0
CS5719,2011-07-10,40,1
CS2591,2014-01-29,69,0
CS2416,2013-02-13,59,0
CS1347,2013-02-10,74,0
CS3073,2015-02-13,95,0
CS3590,2013-10-23,104,0
CS4099,2014-05-29,67,0
CS4109,2012-08-21,40,0
CS6072,2011-12-20,82,0
CS3266,2012-11-17,51,0
CS1433,2014-12-22,72,0
CS5499,2011-06-23,59,0
CS1533,2012-07-20,85,0
CS5405,2012-04-21,91,0
CS4971,2013-05-28,83,0
CS5461,2012-02-06,47,1
CS6088,2013-01-27,82,0
CS1984,2012-09-04,53,0
CS1184,2013-01-05,102,0
CS4346,2012-12-09,65,0
CS5245,2014-10-29,104,0
CS5402,2011-11-03,84,0
CS2765,2011-08-29,61,0
CS5785,2013-06-20,63,0
CS5767,2013-05-29,82,0
CS2753,2012-06-17,63,0
CS2252,2012-09-04,68,0
CS5488,2012-06-28,53,0
CS5354,2014-09-23,83,0
CS1470,2012-02-11,95,0
CS1155,2011-10-16,75,0
CS5565,2014-06-04,36,0
CS6073,2015-02-07,104,0
CS2817,2014-06-11,43,0
CS3210,2011-10-29,57,0
CS4688,2012-10-16,59,0
CS4663,2013-02-24,95,0
CS4539,2012-07-28,35,1
CS2580,2012-07-09,42,0
CS3983,2012-10-15,103,0
CS2771,2012-07-02,67,0
CS3635,2015-02-03,38,0
CS1415,2012-01-21,73,0
CS2294,2015-03-04,94,0
CS1405,2013-09-18,43,0
CS1582,2014-01-16,85,1
CS2886,2013-11-09,38,0
CS2770,2014-11-07,80,0
CS1140,2014-12-28,61,0
CS2333,2014-01-25,93,0
CS4752,2013-04-20,95,0
CS5687,2011-07-26,89,0
CS4895,2014-01-11,80,0
CS2786,2011-11-28,66,0
CS1927,2012-05-24,63,0
CS4327,2014-09-26,36,0
CS1624,2013-03-30,68,0
CS5490,2014-08-19,36,0
CS4395,2012-02-26,66,0
CS3174,2013-01-25,61,0
CS2011,2013-06-06,85,0
CS5553,2015-01-07,98,0
CS3775,2012-02-23,92,0
CS2885,2012-11-08,55,0
CS1206,2014-08-11,90,0
CS4480,2012-05-23,60,0
CS1488,2015-02-12,65,0
CS1456,2013-02-08,95,0
CS4681,2014-02-03,96,0
CS3170,2012-10-16,85,0
CS1906,2014-05-18,60,0
CS5774,2015-02-28,78,0
CS6063,2011-09-29,77,0
CS2223,2014-01-17,41,0
CS1848,2011-09-27,48,0
CS2366,2014-04-08,39,0
CS5335,2014-01-13,45,0
CS2899,2012-10-12,55,1
CS4219,2013-12-06,59,0
CS5690,2015-01-19,82,0
CS3410,2014-09-06,97,0
CS1337,2014-07-24,103,0
CS4954,2012-11-02,82,0
CS4400,2011-08-23,67,0
CS3652,2015-02-07,64,0
CS5677,2013-02-28,93,0
CS4992,2012-10-21,83,0
CS3569,2014-08-17,61,0
CS2442,2014-04-30,59,0
CS4160,2012-05-15,66,0
CS5996,2011-11-18,69,0
CS2345,2011-06-14,60,0
CS2246,2011-08-10,44,0
CS2928,2013-07-16,67,0
CS1740,2014-09-28,102,1
CS2298,2011-09-12,105,1
CS5283,2012-12-01,63,0
CS6084,2013-08-15,64,0
CS3237,2013-01-22,40,0
CS4913,2014-07-22,53,0
CS2104,2014-10-25,81,0
CS4645,2013-12-02,104,0
CS1128,2014-04-23,105,0
CS4639,2012-07-27,39,0
CS4310,2011-09-13,83,0
CS3182,2013-01-18,48,0
CS3347,2012-07-23,38,1
CS4231,2015-02-23,89,0
CS4171,2014-10-31,53,0
CS3137,2013-08-03,92,0
CS1249,2012-05-23,55,0
CS3455,2011-10-03,98,0
CS1235,2012-05-30,56,1
CS4454,2013-08-27,57,0
CS3180,2014-03-09,65,1
CS2930,2014-01-16,94,0
CS3838,2012-03-23,82,0
CS1883,2014-10-12,57,0
CS5148,2012-11-19,72,0
CS4952,2011-11-21,54,1
CS5724,2011-11-04,85,0
CS1447,2012-03-19,104,0
CS1693,2012-01-28,59,0
CS4341,2014-03-17,87,0
CS3598,2012-08-08,72,0
CS5659,2012-08-02,100,0
CS5367,2014-12-01,41,1
CS1501,2013-02-27,65,0
CS2134,2014-07-15,77,0
CS3407,2014-09-17,62,0
CS3343,2014-04-03,56,0
CS3506,2013-03-12,103,0
CS2244,2013-05-05,86,1
CS1243,2012-12-04,70,0
CS3061,2013-12-02,89,0
CS4884,2015-02-10,78,0
CS1590,2014-04-09,39,0
CS3176,2014-07-28,50,0
CS5638,2014-11-12,68,0
CS2122,2012-10-21,83,0
CS2177,2015-01-30,93,1
CS3074,2011-05-27,61,0
CS3433,2012-12-20,99,0
CS3418,2013-03-02,87,0
CS5821,2012-06-23,70,0
CS2231,2015-01-08,74,0
CS5356,2014-04-01,91,1
CS5803,2014-11-28,96,0
CS5611,2014-12-29,65,0
CS5012,2011-12-31,85,0
CS4967,2013-04-07,98,0
CS2522,2014-10-06,85,0
CS2328,2015-02-20,43,0
CS3530,2013-05-13,88,1
CS5034,2014-06-01,39,0
CS5784,2011-11-21,75,0
CS3581,2011-08-17,93,0
CS3011,2014-12-14,83,0
CS4152,2013-02-12,41,0
CS5757,2014-02-08,56,0
CS5557,2012-01-23,82,0
CS3988,2012-04-17,51,0
CS3396,2011-12-25,87,0
CS4393,2015-02-10,54,0
CS4629,2012-12-21,35,0
CS3821,2013-07-03,73,0
CS3460,2011-09-19,77,0
CS4948,2013-02-18,84,0
CS3786,2011-10-17,71,0
CS5468,2012-06-08,50,0
CS1545,2014-09-16,55,0
CS4960,2014-02-16,77,0
CS3555,2013-08-05,103,0
CS4587,2012-10-31,104,0
CS1228,2011-09-27,57,0
CS5126,2012-12-22,49,0
CS1453,2014-03-23,45,0
CS5938,2012-11-20,61,0
CS3135,2012-07-31,49,0
CS4444,2013-03-29,102,0
CS5348,2014-12-06,64,0
CS1416,2012-11-27,100,0
CS5400,2014-05-07,75,0
CS2313,2012-12-23,59,0
CS5187,2012-01-28,42,0
CS3426,2013-04-02,87,0
CS2309,2011-05-31,60,0
CS4564,2013-03-29,94,0
CS3291,2012-12-30,93,0
CS2607,2013-02-19,50,0
CS1882,2014-09-23,104,0
CS2248,2011-08-17,100,0
CS4082,2015-02-15,49,0
CS3181,2014-04-27,62,0
CS2462,2012-02-25,88,0
CS2336,2013-09-22,86,0
CS3235,2012-07-02,43,0
CS2748,2012-01-11,55,1
CS3668,2012-08-25,86,0
CS1296,2014-01-14,61,0
CS5356,2012-10-12,57,1
CS4079,2012-08-21,68,0
CS4864,2014-01-06,73,0
CS2860,2013-05-24,74,0
CS4851,2013-04-23,94,0
CS5761,2015-01-28,102,0
CS6082,2012-03-02,48,0
CS3702,2011-05-22,45,1
CS1512,2013-04-01,54,0
CS4569,2014-07-03,76,0
CS2419,2014-07-06,95,0
CS3942,2013-05-21,64,1
CS4604,2012-04-07,38,1
CS6056,2013-02-21,98,0
CS2592,2013-09-08,73,0
CS5152,2014-03-30,53,0
CS4282,2011-06-13,46,0
CS4509,2012-08-21,93,0
CS2252,2014-09-23,95,0
CS3367,2013-08-27,98,0
CS4980,2012-01-25,64,0
CS3128,2011-09-03,91,0
CS3331,2013-06-30,99,0
CS4166,2012-12-31,104,0
CS5063,2012-06-20,56,0
CS5971,2014-01-15,94,0
CS5060,2013-10-02,38,0
CS5810,2013-04-30,48,0
CS2860,2011-08-01,78,0
CS4490,2014-09-12,37,0
CS5976,2012-07-22,47,0
CS4775,2012-07-30,86,0
CS4174,2012-11-20,51,0
CS5211,2015-01-13,85,0
CS3450,2012-10-26,80,0
CS3945,2012-11-17,80,0
CS2524,2012-04-12,55,0
CS3379,2014-10-07,101,0
CS4349,2012-02-05,87,0
CS2776,2012-11-01,70,0
CS1839,2013-11-13,77,1
CS1322,2013-11-25,84,0
CS3593,2012-05-25,81,0
CS1981,2011-05-21,71,0
CS4054,2011-08-16,99,0
CS4533,2015-01-21,53,1
CS2896,2011-12-29,80,0
CS5616,2013-10-12,37,0
CS3791,2014-07-03,49,0
CS1951,2011-05-29,73,0
CS2473,2013-06-16,81,0
CS5894,2013-08-17,68,0
CS1633,2012-12-19,62,0
CS1977,2013-07-01,38,0
CS6011,2014-02-21,55,0
CS6044,2013-10-17,36,0
CS4951,2013-10-30,90,0
CS2798,2011-08-02,69,0
CS2197,2012-09-21,70,0
CS3011,2014-02-03,65,0
CS1654,2014-12-16,85,0
CS2424,2013-12-05,101,0
CS3530,2014-04-20,40,1
CS1803,2013-07-18,80,1
CS4627,2014-06-22,50,0
CS5154,2012-08-05,78,0
CS3368,2012-12-04,38,1
CS2435,2013-12-19,86,0
CS4353,2015-02-07,75,0
CS5305,2012-03-14,86,1
CS3539,2013-06-01,64,0
CS2087,2012-11-29,52,0
CS5569,2011-08-07,56,0
CS5038,2014-11-15,75,0
CS4895,2013-01-21,43,0
CS2873,2011-12-26,87,0
CS5184,2013-02-09,51,0
CS1930,2013-04-19,76,0
CS4267,2012-05-20,38,1
CS5109,2014-08-01,91,0
CS5778,2012-11-25,65,0
CS3400,2012-03-02,97,0
CS2578,2013-09-11,47,1
CS3374,2011-10-25,49,0
CS1492,2011-09-11,101,0
CS4121,2013-01-21,50,0
CS5623,2015-03-01,100,0
CS5118,2012-02-26,65,0
CS3838,2014-08-21,42,0
CS3713,2013-10-01,50,0
CS3104,2011-06-12,51,0
CS4964,2012-04-30,86,0
CS5534,2014-07-20,40,0
CS4723,2014-01-01,88,0
CS3353,2014-12-04,94,0
CS3789,2014-02-13,102,0
CS4141,2014-02-04,88,0
CS1626,2012-12-23,38,0
CS2653,2012-04-07,81,1
CS5227,2014-01-13,49,0
CS4299,2013-06-12,36,0
CS4675,2011-11-02,85,0
CS1474,2012-05-29,37,0
CS4892,2012-05-23,60,0
CS3864,2014-08-03,78,0
CS4259,2012-02-05,55,0
CS4674,2014-12-19,75,0
CS4904,2014-06-15,60,0
CS1663,2012-03-15,53,1
CS4527,2012-12-12,99,0
CS3886,2012-04-10,85,1
CS6090,2012-09-26,93,0
CS5633,2011-07-21,54,0
CS1971,2013-03-09,39,0
CS2411,2013-09-26,71,0
CS2168,2015-01-29,65,0
CS5716,2012-03-19,100,0
CS3069,2011-12-15,62,0
CS4123,2012-10-16,60,0
CS4310,2014-09-29,61,0
CS1522,2013-04-21,90,0
CS6085,2013-09-24,65,0
CS1425,2015-01-04,83,0
CS1398,2014-08-02,56,1
CS3410,2011-07-19,69,0
CS5930,2014-04-15,35,0
CS3658,2012-05-28,37,1
CS1743,2014-04-12,73,0
CS5345,2014-10-07,84,0
CS4853,2014-02-12,45,0
CS4654,2014-04-30,83,0
CS4355,2014-09-30,77,0
CS1609,2012-02-02,45,0
CS3857,2013-11-08,53,0
CS4790,2013-12-24,103,0
CS3261,2012-07-31,72,0
CS5896,2012-09-28,78,0
CS4499,2012-10-19,46,0
CS2305,2011-06-10,71,0
CS4363,2014-10-09,102,0
CS5777,2011-07-29,97,0
CS4557,2012-09-29,93,0
CS5019,2012-11-06,67,0
CS4285,2015-01-27,38,0
CS5264,2013-02-13,79,0
CS3960,2012-05-26,48,0
CS2263,2013-01-05,96,0
CS2721,2013-09-21,88,0
CS3317,2014-02-15,41,0
CS4849,2011-10-03,73,0
CS2745,2012-06-21,84,0
CS3373,2012-11-03,88,0
